г. Астана, ул. Шевченко, 1
г. Астана, пр-т Достык, 9
г. Астана, ул. Абая, 94а
г.Астана, пр-т Момышулы, 10
г. Астана, Пр. Туран, 37
г. Астана, пр. Туран, 6/1
г.Астана, проспект Туран, 20
г.Астана ул.Е495 угол ул.Мангилик Ел
г. Астана, ул. Бейбитшилик, 25
г. Астана, ул. Алихана Бокейханова, 12
г. Астана, ул. Хусейн Бен Талал, 7
г.Астана, ул.Кунаева, 10
г. Астана, ул. Сыганак, 17
г. Астана, Ул. Жубанова, 7
г. Астана, пр-т Достык, 9
г. Астана, ул. Тауелсиздик, 50
г. Астана, Ул. Кабанбай Батыра, 21
г.Астана пр-т Туран 38 угол Керей и Жанибек
г. Нур-Султан, пр. Туран, 65
г. Астана, пр. Кабанбай батыра 62
г. Астана, ул. Достык 16, уг. ул. Туркестан
г. Астана, ул. Достык 16, уг. ул. Туркестан
г. Астана, ул. Биржан Сал, 2
г. Астана, ул. Достык, 8/1
г. Нур-Султан, ул. Сыганак, 16/5
г. Нур-султан, ул. Жылайири, 2
г. Астана, пр. Кабанбай батыра, 13
г.Астана, пр-т Абая 103
г. Нур-Султан, Ул. Кунаева, 12
г.Астана, ул.Тлендиева, 15
г.Астана, пр-т Аблайхана, 5
г. Астана, ул. Сейфуллина, 47
г.Астана, проспект Достык, 16
г. Астана, ул. Улы Дала, 88
г. Астана , ул. Хусейн бен Талал, 25
г. Астана, ул. А. Пушкина, 37/2
г. Астана , ул. Алматы, 3
г. Астана, ул. Достык, 8а
Г.Нур-Султан, Кургальджинское Шоссе, 1
г. Нур-Султан, ул. Жирентаева, 15А
г. Нур-Султан, пр. Туран, 57
г. Астана, ул. Кабанбай батыра, 6/1
г. Нур-Султан ул. Ивана Панфилова, 4
г.Астана, шоссе Кургальжинское, 7
г. Нур-Султан, ул. Жирентаева, 15А
г.Нур-Султан пр-т Кабанбай батыра 62
г. Астана, ул. Достык, 8а
г.Астана, шоссе Алаш, 20А
г. Астана, ул. Достык, 8/1
г. Астана, ул. Ташенова, 17
г. Астана, ул. Абая, 47
г. Астана, ул. Куйши Дина, 31
г. Нур-Султан, Ул. Кунаева, 8
г.Астана, ул. Достык, 8А
ПЕРЕВЕДЕН В ЕКАССИР
г. Астана, пр. Абылай-Хана, 34
г. Астана, Ул. Ташенова, 17
ПЕРЕВЕДЕН В ЕКАССИР
г. Нур-Султан, ул. Достык, 13/3
г.Астана, ул.Петрова, 24
г. Астана, ул. Сыганак, 1Б
г. Нур-Султан, Ул. Е522, 15
г. Астана, Ул. Достык 16, Уг. Ул. Туркестан
г. Астана, ул. Кабанбай батыра, 60/15
Акмолинская обл., Целиноградский р-он, с. Красноярка
г. Астана, ул. Масаты, 24
г. Астана, ул. Достык, 8/1
г. Астана, ул. Бейбитшилик, 25
г. Астана , ул. Конституции, 10
г. Астана, ул. Достык 16, уг. ул. Туркестан
г.Астана просп. Кабанбай батыра, 119
Акмолинская обл., г. Косшы, ул. Республика, 27
г. Астана, ул. Турана, 36
г. Астана, Ул. Байтурсынова, 2С
Г. Астана, Ул. Бейбитшилик, 25
г. Нур-Султан, ул. Достык, 8/1
г. Астана, ул. Сейфуллина, 47
г. Астана, ул. Иманова, 19
г. Нур-Султан, пр. Республики, 45
г. Астана, ул. Женис, 33
г. Астана, ул. Айтматова, 44
г. Астана, ул. А91, 16
 г. Нур-Султан, ул. Е 10, 17/10
г. Нур-Султан, ул. Достык, 8/1
